Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
Texts	5cm-anno.txt	1	407	413	Kalian					1	0	1	0
Texts	5cm-anno.txt	2	486	488	Lo					1	0	1	0
Texts	5cm-anno.txt	3	670	672	Al					1	0	0	1
Texts	5cm-anno.txt	4	867	871	Kamu					1	0	1	0
Texts	5cm-anno.txt	5	896	899	Aku					1	1	0	0
Texts	5cm-anno.txt	6	970	974	kamu					1	0	1	0
Texts	5cm-anno.txt	7	1184	1188	kita					1	1	0	0
Texts	5cm-anno.txt	8	1327	1330	mas					1	0	0	1
Texts	5cm-anno.txt	9	1353	1357	kita					1	1	0	0
Texts	5cm-anno.txt	10	1371	1375	Kita					1	1	0	0
Texts	5cm-anno.txt	11	1404	1407	Ian					1	0	0	1
Texts	5cm-anno.txt	12	1430	1434	kita					1	1	0	0
Texts	5cm-anno.txt	13	1564	1567	Ian					1	0	0	1
Texts	5cm-anno.txt	14	1623	1627	Kamu					1	0	1	0
Texts	5cm-anno.txt	15	1702	1704	ma					1	0	0	1
Texts	5cm-anno.txt	16	1715	1718	Ian					1	1	0	0
Texts	5cm-anno.txt	17	1865	1868	Mas					1	0	0	1
Texts	5cm-anno.txt	18	2142	2145	mas					1	0	0	1
Texts	5cm-anno.txt	19	2403	2406	mas					1	0	0	1
Texts	5cm-anno.txt	20	2747	2750	mas					1	0	0	1
Texts	5cm-anno.txt	21	2881	2884	mas					1	0	0	1
Texts	5cm-anno.txt	22	3031	3034	mas					1	0	0	1
Texts	5cm-anno.txt	23	3075	3079	Kita					1	1	0	0
Texts	5cm-anno.txt	24	3264	3267	Ian					1	0	0	1
Texts	5cm-anno.txt	25	3493	3496	Nta					1	0	0	1
Texts	5cm-anno.txt	26	3510	3513	Nta					1	0	0	1
Texts	5cm-anno.txt	27	3515	3517	Lu					1	0	1	0
Texts	5cm-anno.txt	28	3548	3551	Nta					1	0	0	1
Texts	5cm-anno.txt	29	3565	3568	Nta					1	0	0	1
Texts	5cm-anno.txt	30	3728	3731	gua					1	1	0	0
Texts	5cm-anno.txt	31	3850	3853	pak					1	0	0	1
Texts	5cm-anno.txt	32	4212	4214	Ta					1	0	0	1
Texts	5cm-anno.txt	33	4441	4444	gua					1	1	0	0
Texts	5cm-anno.txt	34	4558	4561	Gue					1	1	0	0
Texts	5cm-anno.txt	35	4851	4854	Gue					1	1	0	0
Texts	5cm-anno.txt	36	4873	4876	Gue					1	1	0	0
Texts	5cm-anno.txt	37	4902	4905	Gue					1	1	0	0
Texts	5cm-anno.txt	38	4938	4941	Gue					1	1	0	0
Texts	5cm-anno.txt	39	4981	4984	Gue					1	1	0	0
Texts	5cm-anno.txt	40	5309	5313	Kamu					1	0	1	0
Texts	5cm-anno.txt	41	5472	5475	mah					1	0	0	1
Texts	5cm-anno.txt	42	5478	5481	mah					1	0	0	1
Texts	5cm-anno.txt	43	5484	5487	mah					1	0	0	1
Texts	5cm-anno.txt	44	5503	5506	mah					1	0	0	1
Texts	5cm-anno.txt	45	5522	5525	Mah					1	0	0	1
Texts	5cm-anno.txt	46	5538	5541	mah					1	0	0	1
Texts	5cm-anno.txt	47	5583	5586	Ibu					1	0	0	1
Texts	5cm-anno.txt	48	5744	5748	kamu					1	0	1	0
Texts	5cm-anno.txt	49	5812	5816	mama					1	1	0	0
Texts	5cm-anno.txt	50	5830	5834	kamu					1	0	1	0
Texts	5cm-anno.txt	51	5894	5897	Mah					1	0	0	1
Texts	5cm-anno.txt	52	5919	5922	mah					1	0	0	1
Texts	5cm-anno.txt	53	5964	5969	Mamah					1	0	0	1
Texts	5cm-anno.txt	54	5999	6002	gua					1	1	0	0
Texts	5cm-anno.txt	55	6050	6054	kita					1	1	0	0
Texts	5cm-anno.txt	56	6135	6139	kita					1	1	0	0
Texts	5cm-anno.txt	57	6255	6258	mas					1	0	0	1
Texts	5cm-anno.txt	58	6290	6294	kita					1	0	0	0
Texts	5cm-anno.txt	59	6472	6474	Lu					1	0	1	0
Texts	5cm-anno.txt	60	6552	6555	gue					1	1	0	0
Texts	5cm-anno.txt	61	6632	6634	lo					1	0	1	0
Texts	5cm-anno.txt	62	6636	6638	Lo					1	0	1	0
Texts	5cm-anno.txt	63	6653	6656	gue					1	1	0	0
Texts	5cm-anno.txt	64	6808	6810	lu					1	0	1	0
Texts	5cm-anno.txt	65	7021	7023	Lu					1	0	1	0
