Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
Texts	Gundala3-anno.txt	1	506	510	kita					1	1	0	0
Texts	Gundala3-anno.txt	2	663	667	Kami					1	1	0	0
Texts	Gundala3-anno.txt	3	756	760	kami					1	1	0	0
Texts	Gundala3-anno.txt	4	772	776	kami					1	1	0	0
Texts	Gundala3-anno.txt	5	1004	1008	Saya					1	1	0	0
Texts	Gundala3-anno.txt	6	1024	1030	kalian					1	0	1	0
Texts	Gundala3-anno.txt	7	1049	1053	saya					1	1	0	0
Texts	Gundala3-anno.txt	8	1071	1081	Yang kanan					1	0	1	0
Texts	Gundala3-anno.txt	9	1110	1113	Mas					1	0	0	1
Texts	Gundala3-anno.txt	10	1131	1137	Kalian					1	0	1	0
Texts	Gundala3-anno.txt	11	1196	1200	kita					1	1	0	0
Texts	Gundala3-anno.txt	12	1335	1339	saya					1	1	0	0
Texts	Gundala3-anno.txt	13	1366	1370	saya					1	1	0	0
Texts	Gundala3-anno.txt	14	1499	1504	Bapak					1	0	1	0
Texts	Gundala3-anno.txt	15	1559	1564	Bapak					1	1	0	0
Texts	Gundala3-anno.txt	16	1607	1610	Nak					1	0	0	1
Texts	Gundala3-anno.txt	17	1796	1800	kita					1	1	0	0
Texts	Gundala3-anno.txt	18	1878	1882	kita					1	1	0	0
Texts	Gundala3-anno.txt	19	1963	1967	kita					1	1	0	0
Texts	Gundala3-anno.txt	20	2035	2038	Nak					1	0	0	1
Texts	Gundala3-anno.txt	21	2053	2060	Sancaka					1	0	0	1
Texts	Gundala3-anno.txt	22	2089	2092	Nak					1	0	0	1
Texts	Gundala3-anno.txt	23	2130	2132	Bu					1	0	0	1
Texts	Gundala3-anno.txt	24	2171	2175	kamu					1	0	1	0
Texts	Gundala3-anno.txt	25	2283	2287	Bang					1	0	0	1
Texts	Gundala3-anno.txt	26	2446	2450	Bang					1	0	0	1
Texts	Gundala3-anno.txt	27	2500	2502	Bu					1	0	0	1
Texts	Gundala3-anno.txt	28	2504	2507	aku					1	1	0	0
Texts	Gundala3-anno.txt	29	2552	2555	Pak					1	0	0	1
Texts	Gundala3-anno.txt	30	2790	2794	Kita					1	1	0	0
