Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
SDRW001_numbrd_0915	SDRW2000000029-form.txt	1	12	20	name1 님은					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	2	64	66	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	3	302	310	name2 님은					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	4	595	603	name1 님은					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	5	654	656	저도					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	7	879	882	저한텐					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	6	915	922	name2 님					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	8	1069	1071	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	9	1150	1152	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	10	1497	1505	name1 님은					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	11	1597	1599	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	12	2083	2091	name2 님은					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	13	2218	2220	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	14	2545	2553	name1 님은					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	15	2585	2587	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	16	2681	2683	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	17	3566	3576	name1 님께서는					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	19	4242	4244	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	18	4323	4331	name2 님은					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	20	4633	4635	저도					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	21	5040	5050	name1 님께서는					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	23	5144	5146	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	24	5165	5167	저도					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	22	5168	5177	name2 님이랑					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	25	5358	5360	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	28	5466	5468	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	26	5617	5624	name1 님					1	0	0	1
SDRW001_numbrd_0915	SDRW2000000029-form.txt	27	5628	5630	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	29	5706	5708	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	33	5777	5779	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	31	6009	6011	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	30	6065	6073	name1 님은					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	32	6146	6148	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	34	6228	6230	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	35	6347	6349	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	36	6426	6428	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	37	6641	6649	name2 님도					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	38	7037	7039	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	39	7346	7348	저도					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	40	7609	7611	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	41	7675	7677	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	42	7980	7983	저희가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	43	7999	8003	저희끼리					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	44	8069	8079	name1 님께서는					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	45	8147	8149	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	47	8525	8527	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	46	8631	8639	name2 님은					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	48	8856	8858	저도					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	49	8984	8986	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	50	9454	9462	name1 님은					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	51	9530	9532	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	52	9715	9717	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	53	9992	9994	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	54	10133	10135	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	55	10181	10189	name2 님도					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	56	10245	10247	저도					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	57	10953	10955	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	58	11061	11063	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	59	11355	11364	name2 님께서					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	60	11391	11393	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	61	11532	11534	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	62	11629	11631	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	63	11907	11909	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000029-form.txt	64	12006	12014	name2 님은					1	0	1	0
