Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
SDRW001_番号付け_0915	SDRW2000000028-form.txt	1	12	13	너					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	2	110	112	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	3	1882	1884	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	4	2417	2419	너도					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	5	2542	2544	나는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	6	2571	2573	네가					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	7	2592	2594	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	8	2609	2611	너희					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	9	2753	2756	너만의					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	10	2787	2790	나만의					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	11	2817	2819	나는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	12	2955	2957	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	13	3232	3234	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	14	3259	3262	우리가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	15	3364	3367	우리가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	16	3617	3619	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	17	3637	3641	너한테도					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	18	3777	3779	너는					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	19	3902	3904	나는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	20	5197	5199	나는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	21	5238	5240	너도					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	22	5441	5443	너희					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	23	5704	5705	너					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	24	5706	5708	네가					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	25	5817	5819	네가					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	26	5909	5911	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	27	6006	6008	네가					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	28	6070	6072	네가					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	29	6113	6115	우리					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	30	6463	6465	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	31	6725	6727	우리					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	32	6851	6853	나는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	33	7872	7875	우리가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	34	7955	7957	나는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	35	8322	8325	우리가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	36	8574	8576	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	37	9100	9102	네가					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	38	9940	9942	나는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	39	10172	10174	나는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	40	10437	10439	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	41	10611	10614	우리가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	42	10772	10774	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	43	11150	11151	나					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	44	11851	11853	나는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	45	12753	12756	우리가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000028-form.txt	46	13172	13175	우리가					1	1	0	0
