Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
SBRW001_番号付け_0915	SBRW1800000008-form.txt	1	32	38	엄길청입니다					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	2	166	169	우리의					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	3	266	269	우리의					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	4	915	917	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	5	1001	1003	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	6	1159	1161	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	7	1256	1259	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	8	1313	1315	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	9	1356	1359	우리는					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	10	1383	1386	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	11	1632	1636	우리에겐					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	12	1655	1658	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	13	1878	1881	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	14	1909	1911	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	15	2281	2284	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	16	2307	2310	우리의					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	17	2366	2369	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	18	2412	2415	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	19	2597	2601	우리들이					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	20	3094	3096	제가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	21	3102	3105	우리들					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	22	3279	3281	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	23	3771	3775	우리들이					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	24	3813	3816	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	25	4084	4086	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	26	4397	4400	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	27	4462	4464	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	28	4502	4504	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	29	4611	4613	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	30	5159	5161	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	31	5235	5237	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	32	5358	5361	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	33	5440	5442	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	34	5552	5554	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	35	5587	5589	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	36	5798	5800	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	37	5868	5871	우리를					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	38	5940	5944	우리들은					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	39	6460	6464	저희들은					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	40	6586	6588	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	41	6655	6657	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	42	6741	6743	우리	なりすまし				1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	43	7177	7180	우리의					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	44	7340	7342	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	45	7455	7457	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	46	7838	7840	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	47	7890	7893	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	48	7933	7936	우리의					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	49	7974	7976	이사					1	0	1	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	50	8012	8014	저는					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	51	8026	8028	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	52	8156	8159	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	53	8733	8735	저는					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	54	8765	8768	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	55	8840	8842	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	56	9024	9026	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	57	9040	9042	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	58	9047	9049	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	59	9255	9257	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	60	9335	9337	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	61	9522	9525	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	62	9531	9533	저는					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	63	9561	9563	저는					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	64	9568	9570	저는					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	65	9588	9590	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	66	9696	9698	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	67	9807	9809	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	68	9917	9920	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	69	9997	9999	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	70	10004	10006	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	71	10094	10097	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	72	10196	10198	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	73	10252	10254	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	74	10436	10440	저희들이					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	75	10466	10469	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	76	10556	10559	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	77	11845	11848	우리가					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	78	12022	12024	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	79	12113	12115	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	80	12132	12134	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	81	12197	12199	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	82	12374	12378	저희들은					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	83	12621	12624	우리는					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	84	12625	12627	우리					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	85	12878	12881	우리도					1	1	0	0
SBRW001_番号付け_0915	SBRW1800000008-form.txt	86	12971	12974	우리가					1	1	0	0
