Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
SERW001_番号付け_0915	SERW1800001017-form.txt	1	40	43	미옥씨					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	2	94	97	미옥씬					1	0	1	0
SERW001_番号付け_0915	SERW1800001017-form.txt	3	111	113	저도					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	4	127	129	우리					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	5	185	188	미옥씨					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	6	227	228	나					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	7	258	261	아저씨					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	8	269	272	미옥씨					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	9	301	304	아저씬					1	0	1	0
SERW001_番号付け_0915	SERW1800001017-form.txt	10	438	441	이영자					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	11	443	446	이영자					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	12	454	455	너					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	13	525	527	저도					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	14	554	556	내가					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	15	745	747	내가					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	16	789	790	형	02				1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	17	915	917	언니	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	18	959	961	언니	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	19	970	973	미수야					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	20	975	976	나					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	21	1009	1010	난					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	22	1020	1022	내가					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	23	1051	1052	난	なりすまし				1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	24	1121	1124	김미수					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	25	1131	1133	니네					1	0	1	0
SERW001_番号付け_0915	SERW1800001017-form.txt	26	1141	1142	나					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	27	1143	1144	울					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	28	1154	1155	니					1	0	1	0
SERW001_番号付け_0915	SERW1800001017-form.txt	29	1169	1171	언니	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	30	1180	1181	니					1	0	1	0
SERW001_番号付け_0915	SERW1800001017-form.txt	31	1264	1266	내가					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	32	1267	1270	너한테					1	0	1	0
SERW001_番号付け_0915	SERW1800001017-form.txt	33	1295	1296	너					1	0	1	0
SERW001_番号付け_0915	SERW1800001017-form.txt	34	1330	1333	언니랑	03				1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	35	1344	1347	미수야					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	36	1364	1367	미수야					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	37	1369	1372	미수야					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	38	1398	1402	기집애야					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	39	1506	1508	언니	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	40	1510	1511	나					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	41	1546	1547	난					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	42	1666	1668	내가					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	43	1708	1709	너	引用				1	0	1	0
SERW001_番号付け_0915	SERW1800001017-form.txt	44	1713	1714	나	引用				1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	45	1746	1748	언니	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	46	1750	1751	나					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	47	1776	1778	언니	03				1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	48	1843	1845	애기					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	49	1847	1849	애기					1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	50	1870	1873	아버님	04				1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	51	1928	1930	저랑					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	52	2063	2065	내가					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	53	2125	2128	엄마가	03				1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	54	2129	2133	니들한테					1	0	1	0
SERW001_番号付け_0915	SERW1800001017-form.txt	55	2145	2147	엄마	03				1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	56	2191	2193	엄마	03				1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	57	2200	2202	니들					1	0	1	0
SERW001_番号付け_0915	SERW1800001017-form.txt	58	2219	2221	엄마	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001017-form.txt	59	2230	2232	나는					1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	60	2233	2234	너					1	0	1	0
SERW001_番号付け_0915	SERW1800001017-form.txt	61	2263	2266	니들이					1	0	1	0
SERW001_番号付け_0915	SERW1800001017-form.txt	62	2267	2269	엄마	03				1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	63	2300	2302	미수					1	0	1	0
SERW001_番号付け_0915	SERW1800001017-form.txt	64	2303	2304	너					1	0	1	0
SERW001_番号付け_0915	SERW1800001017-form.txt	65	2315	2318	엄마가	03				1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	66	2329	2332	엄마가	03				1	1	0	0
SERW001_番号付け_0915	SERW1800001017-form.txt	67	2358	2360	엄마	03				1	1	0	0
