Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
SERW001_番号付け_0915	SERW1800001012-form.txt	1	173	175	엄마	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	2	180	182	엄마	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	3	194	196	우리					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	4	211	213	이모	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	5	231	232	나					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	6	259	261	민이					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	8	283	288	우리 민이					1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	7	283	285	우리			8		1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	9	305	307	민이					1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	10	312	315	이모랑	03				1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	11	364	366	언니	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	12	368	371	민이야					1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	13	373	376	이모랑					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	15	386	392	우리 민이가					1	0	1	0
SERW001_番号付け_0915	SERW1800001012-form.txt	14	386	388	우리			15		1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	16	432	435	재수야					1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	17	455	456	난					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	18	570	571	난					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	19	619	620	넌					1	0	1	0
SERW001_番号付け_0915	SERW1800001012-form.txt	20	688	691	누나야	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	21	731	733	언니	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	22	902	904	누나	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	23	1036	1038	엄마	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	24	1094	1099	엄마한테도	01				1	0	1	0
SERW001_番号付け_0915	SERW1800001012-form.txt	25	1122	1123	넌					1	0	1	0
SERW001_番号付け_0915	SERW1800001012-form.txt	26	1167	1170	할머니	03				1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	27	1198	1200	엄마	01				1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	28	1202	1205	엄마가	01				1	0	1	0
SERW001_番号付け_0915	SERW1800001012-form.txt	29	1293	1295	내가					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	30	1331	1335	할머니는	03				1	0	1	0
SERW001_番号付け_0915	SERW1800001012-form.txt	31	1416	1418	내가					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	32	1419	1422	할머니	03				1	0	1	0
SERW001_番号付け_0915	SERW1800001012-form.txt	33	1505	1506	울					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	34	1535	1537	내가					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	35	1594	1595	내					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	36	1600	1602	언니	02				1	0	1	0
SERW001_番号付け_0915	SERW1800001012-form.txt	37	1657	1659	언니	02				1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	38	1772	1774	언니	02				1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	39	1823	1825	우리					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	40	1846	1848	내가					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	41	1907	1909	내가					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	42	1922	1925	언니두	02				1	0	1	0
SERW001_番号付け_0915	SERW1800001012-form.txt	43	2243	2244	내					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	44	2363	2366	미옥씨					1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	45	2378	2380	우리					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	46	2414	2417	미옥씨					1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	47	2426	2427	형	02				1	0	0	1
SERW001_番号付け_0915	SERW1800001012-form.txt	48	2435	2437	우리					1	1	0	0
SERW001_番号付け_0915	SERW1800001012-form.txt	49	2467	2468	넌					1	0	1	0
SERW001_番号付け_0915	SERW1800001012-form.txt	50	2490	2492	내가					1	1	0	0
