Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
SDRW001_numbrd_0915	SDRW2000000042-form.txt	1	12	19	name1 씨					1	0	0	1
SDRW001_numbrd_0915	SDRW2000000042-form.txt	2	96	98	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	3	217	219	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	4	248	250	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	5	327	329	나는	引用				1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	6	550	552	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	7	614	622	name2 씨는					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	8	673	675	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	9	787	789	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	10	855	857	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	11	915	917	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	12	1014	1016	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	13	1637	1639	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	14	1860	1868	name1 씨는					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	15	1933	1935	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	16	2088	2090	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	18	2792	2793	제					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	17	3203	3204	제					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	19	3475	3483	name1 씨는					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	20	3757	3759	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	21	4403	4405	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	22	4543	4545	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	24	4976	4978	저도					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	23	5054	5062	name1 씨는					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	25	5528	5530	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	26	6242	6244	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	27	6281	6283	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	28	6330	6332	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	29	6450	6452	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	30	6475	6477	우리					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	31	6627	6628	저					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	32	6854	6855	저					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	33	7139	7141	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	34	7181	7183	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	35	7825	7827	저희					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	37	8132	8133	전					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	36	8186	8188	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	38	8527	8529	제가					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	39	8691	8700	name1 씨처럼					1	0	1	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	40	8845	8847	저도					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	41	9137	9139	저는					1	1	0	0
SDRW001_numbrd_0915	SDRW2000000042-form.txt	42	9274	9276	제가					1	1	0	0
