Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
SDRW001_番号付け_0915	SDRW2000000002-form.txt	1	137	139	저는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	2	382	384	저는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	3	577	579	저는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	4	889	891	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	5	1490	1492	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	6	2293	2295	저는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	7	2342	2344	저희					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	8	2535	2537	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	9	2828	2830	저는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	10	3492	3494	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	11	3563	3565	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	12	3708	3710	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	13	3806	3808	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	14	4126	4128	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	15	6688	6691	우리가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	16	7363	7365	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	17	7416	7418	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	18	7473	7475	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	19	7962	7964	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	20	8840	8842	저는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	21	8938	8939	제					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	22	9333	9335	저는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	23	9662	9664	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	24	9902	9904	저도					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	25	9928	9929	제					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	26	9954	9956	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	27	10090	10092	저희					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	28	10326	10328	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	29	11236	11238	저랑					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	30	11239	11241	저희					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000002-form.txt	31	11499	11501	저희					1	1	0	0
