Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
SDRW001_番号付け_0915	SDRW2000000015-form.txt	1	64	66	저는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	2	627	629	저는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	3	717	720	저한테					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	4	844	846	누나	家族関係ない　4?				1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	5	1047	1049	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	6	1245	1246	내					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	7	1344	1346	너는					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	8	1373	1375	저는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	9	1849	1851	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	10	1895	1897	너도					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	11	2113	2115	누나					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	12	2132	2134	누나					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	13	2154	2155	제					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	14	2176	2178	저희					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	15	2227	2229	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	16	3045	3047	저희					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	17	3167	3169	너는					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	18	3236	3238	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	19	3272	3274	저~					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	20	3373	3375	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	21	3433	3435	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	22	3661	3663	저랑					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	23	3679	3681	저를					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	24	3758	3760	누나					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	25	4337	4340	누나가					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	26	4341	4344	저보다					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	27	4373	4375	저는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	28	4425	4427	나는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	29	4428	4431	너보다					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	30	4480	4482	누나					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	31	4583	4586	누나가					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	32	5127	5129	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	33	5690	5692	나는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	34	5895	5897	누나					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	35	6106	6108	너는					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	36	6148	6150	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	37	6191	6192	제					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	38	6599	6601	나는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	39	6617	6619	우리					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	40	7093	7094	저					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	41	7272	7275	누나는					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	42	7307	7309	나는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	43	7325	7326	내					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	44	7591	7592	나					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	45	7867	7869	나는					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	46	7983	7985	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	47	8165	8168	누나가					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	48	8917	8919	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	49	9004	9007	저한테					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	50	9449	9451	제가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	51	9804	9806	저희					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	52	9898	9900	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	53	10009	10010	저					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	54	10071	10072	제					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	55	10256	10258	자기					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	56	10538	10540	누난					1	0	1	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	57	10613	10615	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	58	10683	10685	내가					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	59	10709	10710	내					1	1	0	0
SDRW001_番号付け_0915	SDRW2000000015-form.txt	60	10763	10765	내가					1	1	0	0
