Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	3rd	address	1st.family	1st.fictional-family	2nd.family	2nd.fictional-family	3rd.family	3rd.fictional-family	1st.proper-name	2nd.proper-name	3rd.proper-name	1st.quantifier	2nd.quantifier	3rd.quantifier	
Texts	gogeki0000	1	0	0						1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	153	211	218	အားလုံး					1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Texts	gogeki0000	154	288	295	ကိုဘတော					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	140	311	319	မခင်ချော					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	155	463	471	မခင်ချော					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	3	531	533	သူ					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	6	665	673	မခင်ချော					1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	142	674	683	ကျွန်တော့					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	7	728	735	ခင်ဗျား					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	8	1046	1055	ကျုပ်တို့					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	143	1080	1088	မခင်ချော					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	9	1209	1212	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	10	1275	1277	သူ					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	144	1279	1284	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	156	1368	1375	အားလုံး					1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Texts	gogeki0000	145	1379	1382	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	12	1398	1401	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	13	1539	1542	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	14	1626	1634	မင်းတို့					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	15	1691	1702	တို့အားလုံး					1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Texts	gogeki0000	157	1799	1807	မခင်ချော					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	16	1869	1872	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	17	1932	1934	သူ					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	18	2019	2030	တို့အားလုံး					1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Texts	gogeki0000	19	2031	2034	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	20	2045	2048	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	21	2112	2116	မင်း					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	22	2163	2168	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	23	2227	2231	မင်း					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
