Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
Texts	A-all.txt	16290	35	39	กะทิ					1	1	0	0
Texts	A-all.txt	16298	257	261	กะทิ					1	1	0	0
Texts	A-all.txt	16299	303	307	กะทิ					1	1	0	0
Texts	A-all.txt	16300	398	401	เรา					1	0	1	0
Texts	A-all.txt	16300	398	401	เรา					1	1	0	0
Texts	A-all.txt	16302	490	494	กะทิ					1	1	0	0
Texts	A-all.txt	16303	577	581	กะทิ					1	1	0	0
Texts	A-all.txt	16304	639	643	กะทิ					1	1	0	0
Texts	A-all.txt	16305	677	681	กะทิ					1	0	0	1
Texts	A-all.txt	16305	696	699	ลูก					1	0	0	1
Texts	A-all.txt	16306	734	738	กะทิ					1	1	0	0
Texts	A-all.txt	16308	798	808	กะทิลูกแม่					1	0	0	1
Texts	A-all.txt	16308	805	808	แม่					1	1	0	0
Texts	A-all.txt	16308	812	815	แม่					1	1	0	0
Texts	A-all.txt	16308	828	834	ลูกรัก					1	0	0	1
Texts	A-all.txt	16311	997	1006	แม่โฉมชฎา					1	0	0	1
Texts	A-all.txt	16311	1010	1015	หล่อน					1	0	1	0
Texts	A-all.txt	16311	1031	1034	ฉัน					1	1	0	0
Texts	A-all.txt	16313	1119	1137	สาวพม่าคนสวยของลุง					1	0	0	1
Texts	A-all.txt	16313	1134	1137	ลุง					1	1	0	0
Texts	A-all.txt	16314	1157	1161	กะทิ					1	1	0	0
Texts	A-all.txt	16317	1326	1329	หนู					1	0	1	0
Texts	A-all.txt	16318	1528	1531	หนู					1	0	1	0
Texts	A-all.txt	16318	1568	1571	แม่					1	1	0	0
Texts	A-all.txt	16320	1676	1679	แม่					1	1	0	0
Texts	A-all.txt	16320	1711	1714	เรา					1	0	1	0
Texts	A-all.txt	16320	1711	1714	เรา					1	1	0	0
Texts	A-all.txt	16320	1745	1748	แม่					1	1	0	0
Texts	A-all.txt	16320	1770	1773	หนู					1	0	1	0
Texts	A-all.txt	16320	1797	1800	หนู					1	0	1	0
Texts	A-all.txt	16320	1869	1872	แม่					1	1	0	0
Texts	A-all.txt	16320	1891	1894	หนู					1	0	1	0
Texts	A-all.txt	16320	1928	1931	แม่					1	1	0	0
Texts	A-all.txt	16321	2003	2006	หนู					1	0	1	0
Texts	A-all.txt	16321	2021	2024	แม่					1	1	0	0
Texts	A-all.txt	16321	2089	2092	แม่					1	1	0	0
Texts	A-all.txt	16321	2096	2099	เรา					1	1	0	0
Texts	A-all.txt	16321	2123	2126	แม่					1	1	0	0
Texts	A-all.txt	16322	2249	2252	แม่					1	1	0	0
Texts	A-all.txt	16322	2278	2281	แม่					1	1	0	0
Texts	A-all.txt	16323	2360	2363	แม่					1	1	0	0
Texts	A-all.txt	16323	2380	2386	ตัวเอง					1	1	0	0
Texts	A-all.txt	16323	2394	2397	แม่					1	1	0	0
Texts	A-all.txt	16323	2444	2447	แม่					1	1	0	0
Texts	A-all.txt	16324	2518	2521	แม่					1	1	0	0
Texts	A-all.txt	16324	2553	2556	หนู					1	0	1	0
Texts	A-all.txt	16324	2560	2563	หนู					1	0	1	0
Texts	A-all.txt	16324	2619	2622	แม่					1	1	0	0
Texts	A-all.txt	16324	2626	2629	หนู					1	0	1	0
Texts	A-all.txt	16324	2671	2674	แม่					1	1	0	0
Texts	A-all.txt	16324	2677	2680	แม่					1	1	0	0
Texts	A-all.txt	16324	2703	2706	แม่					1	1	0	0
Texts	A-all.txt	16324	2776	2779	แม่					1	1	0	0
Texts	A-all.txt	16324	2784	2787	แม่					1	1	0	0
Texts	A-all.txt	16324	2821	2824	แม่					1	1	0	0
Texts	A-all.txt	16324	2849	2852	แม่					1	1	0	0
Texts	A-all.txt	16324	2915	2918	หนู					1	0	1	0
Texts	A-all.txt	16325	2954	2957	แม่					1	1	0	0
Texts	A-all.txt	16325	3095	3098	ลูก					1	0	1	0
Texts	A-all.txt	16325	3101	3104	แม่					1	1	0	0
Texts	A-all.txt	16325	3112	3115	แม่					1	1	0	0
Texts	A-all.txt	16325	3197	3200	แม่					1	1	0	0
Texts	A-all.txt	16325	3286	3289	แม่					1	1	0	0
Texts	A-all.txt	16325	3304	3307	ลูก					1	0	1	0
Texts	A-all.txt	16325	3315	3318	แม่					1	1	0	0
Texts	A-all.txt	16325	3333	3336	ลูก					1	0	1	0
Texts	A-all.txt	16325	3343	3346	แม่					1	1	0	0
Texts	A-all.txt	16325	3360	3363	ลูก					1	0	1	0
Texts	A-all.txt	16325	3372	3375	ลูก					1	0	1	0
Texts	A-all.txt	16329	3588	3591	เรา					1	1	0	0
Texts	A-all.txt	16330	3613	3615	ทิ					1	1	0	0
Texts	A-all.txt	16332	3682	3688	พี่ทอง					1	0	0	1
Texts	A-all.txt	16332	3689	3691	ทิ					1	1	0	0
Texts	A-all.txt	16332	3697	3703	พี่ทอง					1	0	1	0
Texts	A-all.txt	16339	4032	4036	แ ม่					1	1	0	0
Texts	A-all.txt	16339	4057	4060	หนู					1	0	1	0
Texts	A-all.txt	16340	4105	4107	ทิ					1	1	0	0
Texts	A-all.txt	16343	4247	4252	หนูทิ					1	0	1	0
Texts	A-all.txt	16343	4313	4316	หนู					1	0	1	0
Texts	A-all.txt	16343	4317	4320	ลุง					1	1	0	0
Texts	A-all.txt	16343	4363	4366	ลุง					1	1	0	0
Texts	A-all.txt	16343	4377	4380	หนู					1	0	1	0
Texts	A-all.txt	16344	4482	4487	หนูทิ					1	0	1	0
Texts	A-all.txt	16344	4502	4505	หนู					1	0	1	0
Texts	A-all.txt	16344	4555	4560	หนูทิ					1	0	1	0
Texts	A-all.txt	16345	4631	4634	หนู					1	0	1	0
Texts	A-all.txt	16345	4660	4663	ลุง					1	1	0	0
Texts	A-all.txt	16345	4742	4745	หนู					1	0	1	0
Texts	A-all.txt	16346	4768	4771	ลุง					1	1	0	0
Texts	A-all.txt	16347	4867	4870	หนู					1	0	1	0
Texts	A-all.txt	16348	4914	4917	ลุง					1	1	0	0
Texts	A-all.txt	16348	4966	4969	ลุง					1	1	0	0
Texts	A-all.txt	16348	5020	5023	ลุง					1	1	0	0
Texts	A-all.txt	16348	5079	5082	ลุง					1	1	0	0
Texts	A-all.txt	16349	5282	5285	ลุง					1	1	0	0
Texts	A-all.txt	16349	5397	5402	หนูทิ					1	0	1	0
Texts	A-all.txt	16350	5476	5479	ลุง					1	1	0	0
Texts	A-all.txt	16350	5582	5585	หนู					1	0	1	0
Texts	A-all.txt	16350	5641	5644	เรา					1	1	0	0
Texts	A-all.txt	16351	5745	5748	หนู					1	0	1	0
Texts	A-all.txt	16351	5806	5809	ลุง					1	1	0	0
Texts	A-all.txt	16352	5900	5905	หนูทิ					1	0	0	1
Texts	A-all.txt	16353	5922	5926	ห นู					1	0	1	0
Texts	A-all.txt	16353	5952	5955	แม่					1	1	0	0
Texts	A-all.txt	16356	6183	6186	ข้า					1	1	0	0
Texts	A-all.txt	16358	6315	6321	น้องฎา					1	0	0	1
Texts	A-all.txt	16361	6467	6474	หม่าม้า					1	0	0	1
Texts	A-all.txt	16362	6501	6505	กะทิ					1	0	1	0
Texts	A-all.txt	16363	6609	6612	เรา					1	1	0	0
Texts	A-all.txt	16364	6702	6705	เรา					1	1	0	0
Texts	A-all.txt	16366	6904	6907	เรา					1	1	0	0
Texts	A-all.txt	16368	6970	6974	ตุ๊ก					1	1	0	0
Texts	A-all.txt	16371	7122	7125	หนู					1	1	0	0
Texts	A-all.txt	16374	7277	7280	เรา					1	0	1	0
Texts	A-all.txt	16374	7277	7280	เรา					1	1	0	0
Texts	A-all.txt	16374	7303	7306	เรา					1	0	1	0
Texts	A-all.txt	16374	7303	7306	เรา					1	1	0	0
Texts	A-all.txt	16380	7573	7584	อเมริกันบอย					1	0	0	1
Texts	A-all.txt	16382	7656	7659	คุณ					1	0	1	0
Texts	A-all.txt	16383	7680	7683	ฉัน					1	1	0	0
Texts	A-all.txt	16383	7712	7715	ลุง					1	0	0	1
Texts	A-all.txt	16384	7765	7768	ฉัน					1	1	0	0
Texts	A-all.txt	16386	7960	7966	คุณพ่อ					1	0	0	1
Texts	A-all.txt	16387	8113	8116	ลูก					1	0	0	1
Texts	A-all.txt	16387	8117	8120	พ่อ					1	1	0	0
Texts	A-all.txt	16388	8181	8187	คุณพ่อ					1	0	0	1
Texts	A-all.txt	16389	8212	8219	ราชาวดี					1	0	0	1
Texts	A-all.txt	16390	8245	8248	เธอ					1	0	1	0
Texts	A-all.txt	16390	8385	8388	เธอ					1	0	1	0
Texts	A-all.txt	16392	8538	8550	คุณ บุญเรือง					1	0	1	0
Texts	A-all.txt	16393	8588	8590	ผม					1	1	0	0
Texts	A-all.txt	16394	8635	8646	คุณบุญเรือง					1	0	0	1
Texts	A-all.txt	16395	8698	8703	ดิฉัน					1	1	0	0
Texts	A-all.txt	16395	8715	8720	ดิฉัน					1	1	0	0
Texts	A-all.txt	16396	8761	8763	ผม					1	1	0	0
Texts	A-all.txt	16397	8792	8794	ผม					1	1	0	0
Texts	A-all.txt	16397	8806	8813	อาจารย์					1	0	0	1
Texts	A-all.txt	16397	8814	8817	พ่อ					1	1	0	0
Texts	A-all.txt	16397	8824	8830	แม่ฟ้า					1	0	0	1
Texts	A-all.txt	16397	8874	8877	ลูก					1	0	1	0
Texts	A-all.txt	16397	8893	8896	พ่อ					1	1	0	0
Texts	A-all.txt	16397	8922	8925	ลูก					1	0	1	0
Texts	A-all.txt	16398	8959	8962	เธอ					1	0	1	0
Texts	A-all.txt	16398	8987	8990	ฉัน					1	1	0	0
Texts	A-all.txt	16398	9006	9009	เธอ					1	0	1	0
Texts	A-all.txt	16399	9048	9051	เธอ					1	0	1	0
Texts	A-all.txt	16399	9107	9110	ฉัน					1	1	0	0
Texts	A-all.txt	16399	9114	9117	เธอ					1	0	1	0
Texts	A-all.txt	16399	9159	9162	เธอ					1	0	1	0
Texts	A-all.txt	16401	9225	9228	ฉัน					1	1	0	0
Texts	A-all.txt	16402	9343	9350	อาจารย์					1	0	1	0
Texts	A-all.txt	16402	9355	9360	ดิฉัน					1	1	0	0
Texts	A-all.txt	16403	9389	9393	ถวิล					1	0	0	1
Texts	A-all.txt	16404	9466	9469	เธอ					1	0	1	0
Texts	A-all.txt	16408	9754	9757	ฉัน					1	1	0	0
Texts	A-all.txt	16411	9894	9897	ฉัน					1	1	0	0
Texts	A-all.txt	16411	9949	9952	ฉัน					1	1	0	0
Texts	A-all.txt	16412	10036	10039	เธอ					1	0	1	0
Texts	A-all.txt	16413	10123	10126	ฉัน					1	1	0	0
Texts	A-all.txt	16414	10150	10153	ฉัน					1	1	0	0
Texts	A-all.txt	16415	10196	10199	เธอ					1	0	1	0
Texts	A-all.txt	16415	10286	10289	ฉัน					1	1	0	0
Texts	A-all.txt	16415	10304	10307	เรา					1	1	0	0
Texts	A-all.txt	16415	10355	10358	ฉัน					1	1	0	0
Texts	A-all.txt	16419	10542	10545	ฉัน					1	1	0	0
Texts	A-all.txt	16421	10695	10698	ฉัน					1	1	0	0
Texts	A-all.txt	16429	11351	11354	ฉัน					1	1	0	0
Texts	A-all.txt	16438	12164	12167	ฉัน					1	1	0	0
Texts	A-all.txt	16438	12205	12208	ฉัน					1	1	0	0
Texts	A-all.txt	16438	12225	12228	เธอ					1	0	1	0
Texts	A-all.txt	16440	12287	12290	ฉัน					1	1	0	0
Texts	A-all.txt	16441	12378	12381	เรา					1	0	1	0
Texts	A-all.txt	16441	12378	12381	เรา					1	1	0	0
