Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
Texts	DTL-all-new.txt	6415	19	28	พี่ทิชาคะ					1	0	0	1
Texts	DTL-all-new.txt	6415	29	39	พี่ทิชา!!!					1	0	0	1
Texts	DTL-all-new.txt	6419	245	247	ผม					1	1	0	0
Texts	DTL-all-new.txt	6419	264	266	ผม					1	1	0	0
Texts	DTL-all-new.txt	6420	353	355	ผม					1	1	0	0
Texts	DTL-all-new.txt	6423	687	689	ผม					1	1	0	0
Texts	DTL-all-new.txt	6423	732	734	ผม					1	1	0	0
Texts	DTL-all-new.txt	6423	752	754	ผม					1	1	0	0
Texts	DTL-all-new.txt	6423	790	792	ผม					1	1	0	0
Texts	DTL-all-new.txt	6423	885	887	ผม					1	1	0	0
Texts	DTL-all-new.txt	6423	943	945	ผม					1	1	0	0
Texts	DTL-all-new.txt	6423	975	977	ผม					1	1	0	0
Texts	DTL-all-new.txt	6425	1087	1096	ทนายจำเลย					1	0	1	0
Texts	DTL-all-new.txt	6426	1137	1144	โจทก์คะ					1	0	0	1
Texts	DTL-all-new.txt	6426	1145	1148	คุณ					1	0	1	0
Texts	DTL-all-new.txt	6426	1207	1210	คุณ					1	0	1	0
Texts	DTL-all-new.txt	6426	1315	1320	โจทก์					1	0	1	0
Texts	DTL-all-new.txt	6426	1347	1349	ผม					1	1	0	0
Texts	DTL-all-new.txt	6426	1367	1369	ผม					1	1	0	0
Texts	DTL-all-new.txt	6428	1530	1533	คุณ					1	0	1	0
Texts	DTL-all-new.txt	6428	1545	1548	คุณ					1	0	1	0
Texts	DTL-all-new.txt	6428	1615	1618	คุณ					1	0	1	0
Texts	DTL-all-new.txt	6429	1718	1721	คุณ					1	0	1	0
Texts	DTL-all-new.txt	6430	1901	1904	เรา					1	1	0	0
Texts	DTL-all-new.txt	6430	1918	1921	เรา					1	1	0	0
Texts	DTL-all-new.txt	6431	1963	1968	ดาหลา					1	0	0	1
Texts	DTL-all-new.txt	6431	1969	1972	เธอ					1	0	1	0
Texts	DTL-all-new.txt	6434	2267	2277	ทนายศักดิ์					1	1	0	0
