Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
Texts	PS-all-no-setting.txt	897	17	28	เจ้าแม่นาคี					1	0	0	1
Texts	PS-all-no-setting.txt	897	32	44	ลูกช้างคำปอง					1	1	0	0
Texts	PS-all-no-setting.txt	897	70	77	เจ้าแม่					1	0	1	0
Texts	PS-all-no-setting.txt	897	99	106	ลูกช้าง					1	0	1	0
Texts	PS-all-no-setting.txt	897	153	156	ลูก					1	1	0	0
Texts	PS-all-no-setting.txt	897	213	220	ลูกช้าง					1	1	0	0
Texts	PS-all-no-setting.txt	913	295	298	โยม					1	0	1	0
Texts	PS-all-no-setting.txt	921	439	442	ลูก					1	1	0	0
Texts	PS-all-no-setting.txt	921	460	467	หลวงพ่อ					1	0	0	1
Texts	PS-all-no-setting.txt	935	496	499	ข้า					1	1	0	0
Texts	PS-all-no-setting.txt	949	573	579	พี่เคน					1	0	0	1
Texts	PS-all-no-setting.txt	951	598	603	คำปอง					1	0	0	1
Texts	PS-all-no-setting.txt	951	604	608	เอ็ง					1	0	1	0
Texts	PS-all-no-setting.txt	952	678	681	ฉัน					1	1	0	0
Texts	PS-all-no-setting.txt	952	708	711	เรา					1	0	1	0
Texts	PS-all-no-setting.txt	952	708	711	เรา					1	1	0	0
Texts	PS-all-no-setting.txt	954	745	751	พี่เคน					1	0	0	1
Texts	PS-all-no-setting.txt	954	755	758	พี่					1	0	1	0
Texts	PS-all-no-setting.txt	954	761	764	ฉัน					1	1	0	0
Texts	PS-all-no-setting.txt	956	817	821	เอ็ง					1	0	1	0
Texts	PS-all-no-setting.txt	958	894	897	ฉัน					1	1	0	0
Texts	PS-all-no-setting.txt	958	905	908	พี่					1	0	1	0
Texts	PS-all-no-setting.txt	961	980	984	เอ็ง					1	0	1	0
Texts	PS-all-no-setting.txt	962	1016	1019	ฉัน					1	1	0	0
Texts	PS-all-no-setting.txt	967	1140	1146	พี่เคน					1	0	0	1
Texts	PS-all-no-setting.txt	967	1149	1152	พี่					1	0	1	0
Texts	PS-all-no-setting.txt	967	1183	1186	ฉัน					1	1	0	0
Texts	PS-all-no-setting.txt	967	1201	1204	พี่					1	0	1	0
Texts	PS-all-no-setting.txt	967	1211	1214	ฉัน					1	1	0	0
Texts	PS-all-no-setting.txt	968	1263	1267	เอ็ง					1	0	1	0
Texts	PS-all-no-setting.txt	968	1279	1282	พี่					1	1	0	0
Texts	PS-all-no-setting.txt	970	1312	1318	พี่เคน					1	0	0	1
Texts	PS-all-no-setting.txt	970	1319	1322	ฉัน					1	1	0	0
Texts	PS-all-no-setting.txt	970	1339	1342	ฉัน					1	1	0	0
Texts	PS-all-no-setting.txt	971	1367	1371	เอ็ง					1	0	1	0
Texts	PS-all-no-setting.txt	971	1379	1382	ข้า					1	1	0	0
Texts	PS-all-no-setting.txt	971	1385	1390	คำปอง					1	0	0	1
Texts	PS-all-no-setting.txt	971	1391	1394	ข้า					1	1	0	0
Texts	PS-all-no-setting.txt	971	1413	1416	ข้า					1	1	0	0
Texts	PS-all-no-setting.txt	971	1426	1429	เรา					1	0	1	0
Texts	PS-all-no-setting.txt	971	1426	1429	เรา					1	1	0	0
Texts	PS-all-no-setting.txt	971	1456	1459	ข้า					1	1	0	0
Texts	PS-all-no-setting.txt	972	1495	1501	พี่เคน					1	0	0	1
Texts	PS-all-no-setting.txt	972	1505	1508	พี่					1	0	1	0
Texts	PS-all-no-setting.txt	972	1517	1520	เรา					1	1	0	0
Texts	PS-all-no-setting.txt	975	1621	1628	คำปอง !					1	0	0	1
Texts	PS-all-no-setting.txt	977	1649	1655	พี่เคน					1	0	0	1
Texts	PS-all-no-setting.txt	977	1669	1675	พี่เคน					1	0	0	1
Texts	PS-all-no-setting.txt	987	1843	1846	นาย					1	0	0	1
Texts	PS-all-no-setting.txt	987	1847	1850	ฉัน					1	1	0	0
Texts	PS-all-no-setting.txt	993	1976	1989	เจ้าแม่นาคี !					1	0	0	1
Texts	PS-all-no-setting.txt	995	2094	2103	นายบุญส่ง					1	0	0	1
Texts	PS-all-no-setting.txt	997	2196	2199	เรา					1	0	1	0
Texts	PS-all-no-setting.txt	997	2196	2199	เรา					1	1	0	0
Texts	PS-all-no-setting.txt	999	2354	2357	นาย					1	0	0	1
Texts	PS-all-no-setting.txt	1000	2390	2394	เอ็ง					1	0	1	0
Texts	PS-all-no-setting.txt	1002	2474	2477	ฉัน					1	1	0	0
Texts	PS-all-no-setting.txt	1004	2552	2555	ข้า					1	1	0	0
Texts	PS-all-no-setting.txt	1004	2582	2586	เอ็ง					1	0	1	0
Texts	PS-all-no-setting.txt	1006	2636	2640	เอ็ง					1	0	1	0
Texts	PS-all-no-setting.txt	1012	2669	2676	 พี่เคน					1	0	1	0
Texts	PS-all-no-setting.txt	1012	2695	2698	พี่					1	0	1	0
Texts	PS-all-no-setting.txt	1013	2754	2758	เอ็ง					1	0	1	0
Texts	PS-all-no-setting.txt	1014	2842	2845	พี่					1	0	1	0
Texts	PS-all-no-setting.txt	1015	2897	2900	ข้า					1	1	0	0
Texts	PS-all-no-setting.txt	1015	2908	2912	เอ็ง					1	0	1	0
Texts	PS-all-no-setting.txt	1015	2924	2927	เรา					1	0	1	0
Texts	PS-all-no-setting.txt	1015	2924	2927	เรา					1	1	0	0
Texts	PS-all-no-setting.txt	1015	2948	2957	คำปองเอ๊ย					1	0	0	1
Texts	PS-all-no-setting.txt	1020	3056	3059	ฉัน					1	1	0	0
Texts	PS-all-no-setting.txt	1021	3142	3146	เอ็ง					1	0	1	0
Texts	PS-all-no-setting.txt	1025	3188	3195	คำปอง !					1	0	0	1
Texts	PS-all-no-setting.txt	1025	3196	3200	เอ็ง					1	0	1	0
Texts	PS-all-no-setting.txt	1026	3237	3243	พี่เคน					1	0	0	1
Texts	PS-all-no-setting.txt	1026	3247	3250	ฉัน					1	1	0	0
Texts	PS-all-no-setting.txt	1028	3308	3312	เอ็ง					1	0	1	0
Texts	PS-all-no-setting.txt	1028	3326	3333	คำปอง !					1	0	0	1
Texts	PS-all-no-setting.txt	1057	3515	3520	คำปอง					1	0	0	1
Texts	PS-all-no-setting.txt	1057	3521	3524	พี่					1	1	0	0
Texts	PS-all-no-setting.txt	1057	3528	3532	เอ็ง					1	0	1	0
