Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
Texts	Vietnamese_drama_2.txt	44360	53	61	Chư tiên					1	0	0	1
Texts	Vietnamese_drama_2.txt	44360	53	61	Chư tiên					1	0	1	0
Texts	Vietnamese_drama_2.txt	44360	67	75	Chư tiên					1	0	0	1
Texts	Vietnamese_drama_2.txt	44360	67	75	Chư tiên					1	0	1	0
Texts	Vietnamese_drama_2.txt	44360	81	91	Thiên binh					1	0	0	1
Texts	Vietnamese_drama_2.txt	44360	81	91	Thiên binh					1	0	1	0
Texts	Vietnamese_drama_2.txt	44360	97	107	Thiên binh					1	0	0	1
Texts	Vietnamese_drama_2.txt	44360	97	107	Thiên binh					1	0	1	0
Texts	Vietnamese_drama_2.txt	44364	428	431	tôi					1	1	0	0
Texts	Vietnamese_drama_2.txt	44364	436	439	ông					1	0	1	0
Texts	Vietnamese_drama_2.txt	44365	608	619	ông Bắc Đẩu					1	0	1	0
Texts	Vietnamese_drama_2.txt	44366	803	807	Mình					1	1	0	0
Texts	Vietnamese_drama_2.txt	44366	886	890	mình					1	1	0	0
Texts	Vietnamese_drama_2.txt	44367	1022	1026	mình					1	1	0	0
Texts	Vietnamese_drama_2.txt	44367	1044	1048	mình					1	1	0	0
Texts	Vietnamese_drama_2.txt	44368	1089	1096	ông này					1	0	1	0
Texts	Vietnamese_drama_2.txt	44371	1326	1328	ta					1	1	0	0
Texts	Vietnamese_drama_2.txt	44372	1414	1416	ta					1	1	0	0
Texts	Vietnamese_drama_2.txt	44373	1566	1568	ta					1	1	0	0
Texts	Vietnamese_drama_2.txt	44375	1718	1721	ông					1	0	0	1
Texts	Vietnamese_drama_2.txt	44375	1718	1721	ông					1	0	1	0
Texts	Vietnamese_drama_2.txt	44379	2188	2196	Đế Thích					1	0	1	0
Texts	Vietnamese_drama_2.txt	44380	2225	2232	hai ông					1	0	1	0
Texts	Vietnamese_drama_2.txt	44381	2244	2247	Bác					1	0	1	0
Texts	Vietnamese_drama_2.txt	44382	2419	2422	tôi					1	1	0	0
Texts	Vietnamese_drama_2.txt	44382	2437	2440	tôi					1	1	0	0
Texts	Vietnamese_drama_2.txt	44384	2614	2617	tôi					1	1	0	0
