Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
Texts	Vietnamese_story_2.txt	43147	47	50	Cậu					1	0	1	0
Texts	Vietnamese_story_2.txt	43154	311	317	ông Ký					1	0	1	0
Texts	Vietnamese_story_2.txt	43155	341	344	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43155	383	386	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43155	401	404	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43157	450	453	bác					1	0	1	0
Texts	Vietnamese_story_2.txt	43157	484	487	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43159	614	617	Ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43159	622	626	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43161	705	713	nhà cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43162	754	762	nhà cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43162	801	804	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43163	856	858	Bố					1	0	0	1
Texts	Vietnamese_story_2.txt	43163	856	858	Bố					1	0	1	0
Texts	Vietnamese_story_2.txt	43163	863	865	bố					1	0	1	0
Texts	Vietnamese_story_2.txt	43163	882	885	con					1	1	0	0
Texts	Vietnamese_story_2.txt	43164	913	916	Bác					1	0	1	0
Texts	Vietnamese_story_2.txt	43165	989	997	nhà cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43166	1044	1047	Ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43166	1058	1062	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43166	1071	1074	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43168	1235	1238	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43168	1264	1272	nhà cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43168	1277	1281	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43168	1296	1299	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43171	1500	1503	Ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43171	1529	1537	nhà cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43172	1565	1568	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43174	1704	1710	Anh Cả					1	0	0	1
Texts	Vietnamese_story_2.txt	43174	1704	1710	Anh Cả					1	0	1	0
Texts	Vietnamese_story_2.txt	43176	1854	1860	Anh Cả					1	0	0	1
Texts	Vietnamese_story_2.txt	43176	1854	1860	Anh Cả					1	0	1	0
Texts	Vietnamese_story_2.txt	43176	1874	1877	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43178	1970	1972	cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43178	1980	1983	con					1	1	0	0
Texts	Vietnamese_story_2.txt	43179	2057	2060	anh					1	0	1	0
Texts	Vietnamese_story_2.txt	43181	2203	2206	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43182	2275	2284	chúng tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43182	2347	2356	chúng tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43184	2450	2457	các ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43184	2477	2480	Tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43186	2614	2617	Ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43187	2681	2684	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43187	2686	2693	nhà tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43188	2735	2744	chúng tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43188	2802	2805	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43188	2809	2812	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43189	2842	2845	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43190	2892	2901	chúng tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43190	2918	2921	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43191	2981	2990	chúng tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43194	3195	3204	chúng tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43195	3307	3316	chúng tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43195	3433	3436	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43196	3491	3500	Chúng tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43196	3549	3552	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43196	3603	3612	chúng tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43197	3650	3657	các ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43199	3784	3787	Ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43200	3872	3875	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43201	3936	3939	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43201	3954	3957	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43203	4159	4162	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43203	4184	4187	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43203	4189	4192	Tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43205	4273	4276	Anh					1	0	1	0
Texts	Vietnamese_story_2.txt	43206	4323	4326	Tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43206	4336	4339	anh					1	0	1	0
Texts	Vietnamese_story_2.txt	43213	4923	4926	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43216	5122	5125	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43220	5505	5514	Thằng Mới					1	0	1	0
Texts	Vietnamese_story_2.txt	43222	5654	5660	các cụ					1	0	0	1
Texts	Vietnamese_story_2.txt	43222	5654	5660	các cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43223	5712	5715	Mày					1	0	1	0
Texts	Vietnamese_story_2.txt	43225	5910	5912	ta					1	1	0	0
Texts	Vietnamese_story_2.txt	43225	5928	5930	cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43227	6172	6175	mày					1	0	1	0
Texts	Vietnamese_story_2.txt	43229	6341	6347	các cụ					1	0	0	1
Texts	Vietnamese_story_2.txt	43229	6341	6347	các cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43233	6668	6671	Anh					1	0	1	0
Texts	Vietnamese_story_2.txt	43233	6714	6717	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43235	6811	6814	Tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43235	6828	6831	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43238	7096	7099	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43238	7129	7132	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43238	7200	7203	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43246	7755	7758	Ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43246	7763	7771	nhà cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43247	7821	7829	nhà cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43248	7866	7870	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43248	7893	7896	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43251	8046	8049	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43251	8057	8061	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43253	8126	8130	Cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43253	8154	8157	ông					1	0	0	1
Texts	Vietnamese_story_2.txt	43253	8154	8157	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43254	8168	8171	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43254	8201	8204	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43254	8210	8213	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43255	8218	8221	Tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43255	8239	8241	cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43255	8292	8295	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43257	8506	8509	ông					1	0	0	1
Texts	Vietnamese_story_2.txt	43257	8506	8509	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43258	8556	8559	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43262	8963	8966	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43264	9077	9080	Ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43264	9101	9104	Tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43266	9337	9340	Tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43266	9364	9367	bà 					1	0	1	0
Texts	Vietnamese_story_2.txt	43267	9408	9411	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43268	9603	9612	chúng tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43268	9633	9635	bà					1	0	1	0
Texts	Vietnamese_story_2.txt	43269	9656	9658	bà					1	0	1	0
Texts	Vietnamese_story_2.txt	43269	9692	9694	Bà					1	0	1	0
Texts	Vietnamese_story_2.txt	43271	9766	9768	cụ					1	0	0	1
Texts	Vietnamese_story_2.txt	43271	9766	9768	cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43271	9770	9773	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43271	9789	9795	các cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43273	9927	9929	bà					1	0	1	0
Texts	Vietnamese_story_2.txt	43273	9944	9947	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43273	9996	9998	bà					1	0	1	0
Texts	Vietnamese_story_2.txt	43273	10013	10016	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43273	10047	10049	bà					1	0	1	0
Texts	Vietnamese_story_2.txt	43276	10252	10256	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43279	10538	10542	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43280	10693	10697	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43280	10710	10713	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43280	10754	10758	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43283	10968	10972	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43284	11046	11050	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43285	11138	11148	Chúng cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43288	11336	11340	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43288	11400	11403	ông					1	0	0	1
Texts	Vietnamese_story_2.txt	43288	11400	11403	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43289	11431	11435	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43290	11542	11545	Bác					1	0	1	0
Texts	Vietnamese_story_2.txt	43290	11562	11565	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43291	11588	11591	bác					1	0	1	0
Texts	Vietnamese_story_2.txt	43291	11606	11609	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43291	11637	11640	Bác					1	0	1	0
Texts	Vietnamese_story_2.txt	43296	12177	12179	cụ					1	0	0	1
Texts	Vietnamese_story_2.txt	43296	12177	12179	cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43296	12183	12186	Con					1	1	0	0
Texts	Vietnamese_story_2.txt	43296	12215	12217	cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43300	12523	12526	Anh					1	0	1	0
Texts	Vietnamese_story_2.txt	43302	12724	12728	Cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43302	12738	12740	cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43302	12776	12780	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43306	13075	13078	anh					1	0	1	0
Texts	Vietnamese_story_2.txt	43307	13197	13201	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43308	13286	13290	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43308	13344	13346	cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43309	13353	13355	cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43309	13379	13383	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43309	13403	13405	cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43309	13432	13445	vợ chồng cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43311	13602	13605	Bác					1	0	1	0
Texts	Vietnamese_story_2.txt	43312	13650	13653	ông					1	0	0	1
Texts	Vietnamese_story_2.txt	43312	13650	13653	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43312	13654	13658	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43316	13897	13904	nhà bác					1	0	1	0
Texts	Vietnamese_story_2.txt	43317	13958	13961	ông					1	0	0	1
Texts	Vietnamese_story_2.txt	43317	13958	13961	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43319	14039	14043	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43324	14472	14475	ông					1	0	0	1
Texts	Vietnamese_story_2.txt	43324	14472	14475	ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43328	15046	15049	bác					1	0	1	0
Texts	Vietnamese_story_2.txt	43329	15112	15116	cháu					1	1	0	0
Texts	Vietnamese_story_2.txt	43330	15181	15184	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43330	15235	15241	các cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43331	15270	15276	nhà ta					1	1	0	0
Texts	Vietnamese_story_2.txt	43334	15522	15524	cụ					1	0	1	0
Texts	Vietnamese_story_2.txt	43334	15537	15545	chúng ta					1	1	0	0
Texts	Vietnamese_story_2.txt	43340	15982	15985	Ông					1	0	1	0
Texts	Vietnamese_story_2.txt	43341	16076	16079	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43341	16115	16118	Tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43343	16224	16227	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43343	16282	16285	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43344	16349	16352	tôi					1	1	0	0
Texts	Vietnamese_story_2.txt	43347	16674	16680	Các bà					1	0	1	0
Texts	Vietnamese_story_2.txt	43347	16704	16710	các bà					1	0	1	0
